TierID,LevelID,AreaID,Enabled,EnemyIDs,TicketCost,XPClanReward,XPPlayerReward,WildCardPlayerReward,CardPlayerReward,ScrollPlayerReward,FortuneScrollPlayerReward,HolidayCurrencyPerAttack,AttacksPerReset,BaseHP,TitanCount,HasArmor,AreaBonuses,EnemyBonuses,EnchantedArmour,BattleScarEffect,BucketsOfDamage,TotalHP
9999,1,Area1,TRUE,"Enemy2,Enemy3,Enemy4",0,1516,2059,344,391,20,9,5,6,1.70E+10,3,TRUE,1,1,0,1.020,10,5.10E+10
9999,2,Area2,TRUE,"Enemy5,Enemy3,Enemy1",0,1518,2063,345,392,20,9,5,6,1.34E+10,4,TRUE,1,1,0,1.022,15,5.36E+10
9999,3,Area3,TRUE,"Enemy2,Enemy3,Enemy6",0,1520,2067,346,393,20,9,5,6,1.12E+10,5,TRUE,1,1,0,1.024,20,5.61E+10
9999,4,Area4,TRUE,"Enemy5,Enemy2,Enemy3",0,1522,2071,347,394,20,9,5,6,9.78E+09,6,TRUE,1,1,0,1.026,25,5.87E+10
9999,5,Area1,TRUE,"Enemy5,Enemy3,Enemy4",0,1524,2075,347,395,20,9,5,6,8.75E+09,7,TRUE,1,1,0,1.028,20,6.13E+10
9999,6,Area2,TRUE,"Enemy5,Enemy2,Enemy7",0,1526,2079,348,396,20,9,5,6,7.98E+09,8,TRUE,1,1,0,1.030,50,6.39E+10
9999,7,Area3,TRUE,"Enemy2,Enemy3,Enemy7",0,1528,2083,349,397,20,9,5,6,1.66E+10,4,TRUE,1,1,0,1.032,10,6.64E+10
9999,8,Area4,TRUE,"Enemy5,Enemy3,Enemy2",0,1530,2087,350,398,20,9,5,6,9.85E+09,7,TRUE,1,1,0,1.034,15,6.89E+10
9999,9,Area1,TRUE,"Enemy5,Enemy2,Enemy8",0,1532,2091,350,399,20,9,5,6,1.02E+10,7,TRUE,1,1,0,1.036,20,7.13E+10
9999,10,Area2,TRUE,"Enemy5,Enemy2,Enemy3",0,1534,2095,351,400,20,9,5,6,9.20E+09,8,TRUE,1,1,0,1.038,25,7.36E+10
9999,11,Area3,TRUE,"Enemy1,Enemy2,Enemy4",0,1536,2099,352,401,20,9,5,6,9.19E+09,8,TRUE,1,1,1,1.040,20,7.35E+10
9999,12,Area4,TRUE,"Enemy1,Enemy3,Enemy6",0,1538,2103,353,402,20,9,5,6,1.89E+10,4,TRUE,1,1,1,1.042,50,7.54E+10
9999,13,Area1,TRUE,"Enemy3,Enemy4,Enemy6",0,1540,2107,353,403,20,9,5,6,1.10E+10,7,TRUE,1,1,1,1.044,10,7.71E+10
9999,14,Area2,TRUE,"Enemy1,Enemy4,Enemy6",0,1542,2111,354,404,20,9,5,6,1.58E+10,5,TRUE,1,1,1,1.046,15,7.88E+10
9999,15,Area3,TRUE,"Enemy1,Enemy6,Enemy8",0,1544,2115,355,405,20,9,5,6,1.34E+10,6,TRUE,1,1,1,1.048,20,8.03E+10
9999,16,Area4,TRUE,"Enemy3,Enemy5,Enemy6",0,1546,2119,356,406,20,9,5,6,1.36E+10,6,TRUE,1,1,1,1.050,25,8.16E+10
9999,17,Area1,TRUE,"Enemy2,Enemy4,Enemy6",0,1548,2123,356,407,20,9,5,6,1.18E+10,7,TRUE,1,1,1,1.052,20,8.28E+10
9999,18,Area2,TRUE,"Enemy2,Enemy3,Enemy5",0,1550,2127,357,408,20,9,5,6,1.05E+10,8,TRUE,1,1,1,1.054,50,8.39E+10
9999,19,Area3,TRUE,"Enemy1,Enemy3,Enemy5",0,1552,2131,358,409,20,9,5,6,1.21E+10,7,TRUE,1,1,1,1.056,10,8.48E+10
9999,20,Area4,TRUE,"Enemy1,Enemy2,Enemy3",0,1554,2135,359,410,20,9,5,6,1.38E+10,6,TRUE,1,1,2,1.058,15,8.30E+10
9999,21,Area1,TRUE,"Enemy1,Enemy3,Enemy7",0,1556,2139,359,411,20,9,5,6,1.19E+10,7,TRUE,1,1,2,1.060,20,8.36E+10
9999,22,Area2,TRUE,"Enemy2,Enemy6,Enemy7",0,1558,2143,360,412,20,9,5,6,2.11E+10,4,TRUE,1,1,2,1.062,25,8.42E+10
